ENSEMBL	baseMean	log2FoldChange	lfcSE	pvalue	padj	CD_Ctl_1_fpm	WD_Ctl_1_fpm	CD_Ctl_2_fpm	WD_Ctl_2_fpm
ENSMUSG00000027200	125.23493748983856	-1.067258276790627	0.4050496015967968	4.149572667719933e-4	0.006063160063360203	3.1847382291012036	1.7184203221400298	3.9324982173854894	1.1898444406803206
ENSMUSG00000096954	87.77093978861257	-2.5746118826852746	0.5017835508849595	1.3353433143950933e-8	2.1687446743879057e-6	2.1098890767795475	0.5341036136381173	4.004654147979719	0.3777283938667685
ENSMUSG00000026490	174.7530826382126	-1.1671423458451935	0.35071300504730113	4.7200640072298896e-5	0.00134562215951835	4.677584273992393	1.5558670484240809	5.357577846621515	2.3985753010539796
ENSMUSG00000046721	256.6233906246764	1.0071427917926266	0.33068440452439213	1.3703745802749154e-4	0.0028533156439295563	2.4084582857577854	6.060914919980375	3.896420252088375	8.177819727215537
ENSMUSG00000043483	259.63139680194416	1.1639672657987885	0.30652541361032404	8.514399191418767e-6	3.5330211591438725e-4	3.0055967037142612	5.851917853774155	3.0125101023090677	8.914390095255737
ENSMUSG00000035299	57.3955000508388	-1.5942033623851442	0.6142376196876883	3.530591578731699e-4	0.005381267687321779	1.214181449844834	0.5108817173929818	2.435262657555234	0.4343876529467838
ENSMUSG00000028068	199.26733429577544	-1.1763210016358532	0.30431801778742806	6.3308995419585336e-6	2.850126975260097e-4	5.792242654177814	2.206080143287876	5.574045638404202	2.379688881360641
ENSMUSG00000043051	134.68930192121002	-1.0893001529795383	0.36682678767130933	1.5752931500818612e-4	0.0031030860821688344	3.921208944580857	1.6719765296497584	3.716030425602802	1.473140736080397
ENSMUSG00000048732	129.90657192860684	-1.716063019348062	0.3661373816710092	1.3944899663918862e-7	1.4138915659242952e-5	3.7818766470576795	1.1378729160116414	4.365433800950864	1.114298761906967
ENSMUSG00000090399	149.7122049010488	-1.8657259648699347	0.37132747952533013	2.5359328501072548e-8	3.5625273532832036e-6	5.75243342631405	1.0682072272762346	3.842303304142703	1.3220493785336895
ENSMUSG00000048279	165.14395662673277	-1.0587093394497844	0.3661417627897407	2.0141231910489338e-4	0.0036925591835897118	4.17996892569533	2.368633417003825	5.123071072190271	1.5486864148537507
ENSMUSG00000105388	186.56455442450618	1.105783511500435	0.37925542266021217	1.873208588835894e-4	0.0035322112016221013	1.8511290956650748	3.831612880447363	2.4533016402037915	6.7991110896018325
ENSMUSG00000074519	178.44102467860665	-1.3160208764259294	0.343559885143877	6.569730057942725e-6	2.923780628840159e-4	4.797011957583688	2.275745832023283	5.682279534295546	1.5297999951604122
ENSMUSG00000044424	170.1722692944985	1.0012122012558824	0.3614178335346489	3.136901668186836e-4	0.004983143521942576	2.0501752349838998	3.7387252954668213	2.092521987232646	5.741471586774881
ENSMUSG00000086922	86.0246520271362	1.2290261162809595	0.4663752626045768	3.8266299294470837e-4	0.005683885984376177	0.7563753294115358	2.345411520758689	1.046260993616323	2.7385308555340715
ENSMUSG00000097242	80.98108982432063	-1.3432324751103106	0.5221119182042262	4.022317612067861e-4	0.005921745373322128	2.28903060216649	1.0682072272762346	2.6156524840408073	0.5099333317201374
ENSMUSG00000086213	61.7114520577243	1.2149197270848895	0.5875370109655786	0.00144222923458755	0.014484403854686334	0.5573291900927106	2.298967728268418	0.6674423579966198	1.4164814770003817
ENSMUSG00000092528	95.388205957829	-1.793535873853482	0.4218859620642001	1.030963662210812e-6	7.07119782434004e-5	3.144929001237439	0.7198787835992015	2.9403541717148385	0.8310024665068906
ENSMUSG00000062611	152.32833725598266	1.0374459580701025	0.423919278447234	7.132407173708912e-4	0.008980979227369968	1.4729414309593067	3.0188465118676198	2.0744830045840885	5.62815306861485
ENSMUSG00000046323	156.67216805317076	1.1213205271852442	0.3616648028738442	1.0402900380733653e-4	0.002357217054321909	2.0700798489157823	3.878056672937635	1.551352507775927	5.042674058121359
ENSMUSG00000040840	96.14614070560518	-1.129759970188471	0.478758029303658	7.844463931687293e-4	0.009537690244366407	2.5278859693490805	1.3468699822178611	3.0666270502547395	0.755456787733537
ENSMUSG00000087412	154.55093246087824	1.2929881543404418	0.35396004485595034	1.38024379657367e-5	5.141738871581147e-4	1.671987570278132	3.808390984202228	1.6415474210187133	5.250424674748082
ENSMUSG00000019852	132.13818743985303	-1.3588107550188702	0.38091114932518644	1.8032763102387208e-5	6.372005843644133e-4	3.3240705266243817	1.253982397237319	4.545823627436437	1.4542543163870585
ENSMUSG00000051586	129.82891028281006	-1.0402762195257753	0.37762309485057827	3.0907772826280677e-4	0.004936775769238805	3.9610181724446223	1.5094232559338099	3.3552507726316563	1.5675728345470892
ENSMUSG00000051149	87.44086847856327	-2.4719419064419617	0.4896084825984102	1.9768906835471013e-8	2.993577320799896e-6	3.503212052011324	0.650213094863795	2.5254575707980207	0.3210691347867532
ENSMUSG00000066362	140.48666881478056	1.0101962764994852	0.39394623394151423	5.453555398714047e-4	0.007402614196624655	1.5525598866868369	3.1117340968481617	1.8038982648557291	4.778264182414621
